Month,Group,Reason,State,Count,record_type
2020-10-01,Accommodation,Accommodation,NSW,12359.0,group_total
2020-10-01,Financial,Financial,NSW,10570.0,group_total
2020-10-01,Interpersonal,Interpersonal Relationships,NSW,11741.0,group_total
2020-10-01,Health,Health,NSW,5931.0,group_total
2020-10-01,Other,Other,NSW,7145.0,group_total
2020-10-01,Not stated,Not stated,NSW,336.0,group_total
2020-10-01,Total,Total Clients,NSW,23666.0,group_total
2020-09-01,Accommodation,Accommodation,NSW,12293.0,group_total
2020-09-01,Financial,Financial,NSW,10648.0,group_total
2020-09-01,Interpersonal,Interpersonal Relationships,NSW,11752.0,group_total
2020-09-01,Health,Health,NSW,5970.0,group_total
2020-09-01,Other,Other,NSW,7150.0,group_total
